a52dec 0.7.4-10
aalib 1.4rc5-13
accounts-qml-module 0.7-2
accountsservice 0.6.55-1
acl 2.2.53-1
acpi 1.7-2
acpid 2.0.31-1
adobe-source-code-pro-fonts 2.030ro+1.050it-5
adwaita-icon-theme 3.32.0-1
alsa-firmware 1.0.29-2
alsa-lib 1.1.9-1
alsa-plugins 1.1.9-2
alsa-utils 1.1.9-1
android-tools 9.0.0_r45-1
android-udev 20190315-1
aom 1.0.0.errata1-1
apm 2.4.2-1
appimagelauncher 1.3.1-1
appstream 0.12.7-1
appstream-glib 0.7.15-1
appstream-qt 0.12.7-1
apr 1.7.0-1
apr-util 1.6.1-5
arandr 0.1.10-3
archlinux-appstream-data 20190726-1
archlinux-keyring 20190123-2
argon2 20190702-1
aribb24 1.0.3-2
ark 19.04.3-1
asciidoc 8.6.10-1
aspell 0.60.7rc1-1
at-spi2-atk 2.32.0-1
at-spi2-core 2.32.1-1
atk 2.32-1
atom 1.38.2-2
atool 0.39.0-6
attica 5.60.0-1
attr 2.4.48-1
audiofile 0.3.6-4
audit 2.8.5-3
autoconf 2.69-5
automake 1.16.1-1
avahi 0.7+18+g1b5f401-2
b43-fwcutter 019-2
baloo 5.60.0-1
baloo-widgets 19.04.3-1
bash 5.0.007-1
bashrc-manjaro 5.0.007-1
bc 1.07.1-3
binutils 2.32-2
bison 3.3.2-1
bluedevil 1:5.16.3-1
blueman 2.1-1
bluez 5.50-6
bluez-libs 5.50-6
bluez-qt 5.60.0-1
bluez-utils 5.50-6
boost 1.69.0-2
boost-libs 1.69.0-2
breath-icon-theme 0.4.0-2
breeze 5.16.3-1
breeze-icons 5.60.0-1
bridge-utils 1.6-3
brotli 1.0.7-1
btrfs-progs 5.2-1
bubblewrap 0.3.3-2.1
bzip2 1.0.8-2
c-ares 1.15.0-1
ca-certificates 20181109-1
ca-certificates-mozilla 3.45-1
ca-certificates-utils 20181109-1
cairo 1.16.0-2
calcurse 4.5.0-1
calligra 3.1.0-19
cantarell-fonts 1:0.111-1
cauchy 0.9.0-2
cdparanoia 10.2-7
celt 0.11.3-3
cfitsio 1:3.47-1
chromaprint 1.4.3-2
cifs-utils 6.8-2
ckbcomp 1.175-1
clucene 2.3.3.4-10
code 1.36.1-1
colord 1.4.4-2
confuse 3.2.2-1
containerd 1.2.7-1
convertlit 1.8-8
coreutils 8.31-1
cpupower 5.2-1
cracklib 2.9.7-1
crda 4.14-2
cronie 1.5.4-1
cryptsetup 2.1.0-1.1
cups 2.2.11-2
cups-filters 1.25.1-1
cups-pdf 3.0.1-4
cups-pk-helper 0.2.6-3
curl 7.65.3-1
db 5.3.28-4
dbus 1.12.16-1.2
dbus-glib 0.110-1
dconf 0.32.0-3
deepin-qt-dbus-factory 1.1.6-1
deepin-qt5dxcb-plugin 1.2.6-1
deepin-qt5integration 0.3.12-3
deepin-screenshot 4.2.2-1
deepin-turbo 0.0.3-1
deja-dup 40.1-2
desktop-file-utils 0.24-1
device-mapper 2.02.185-1
dhclient 4.4.1-4
dhcpcd 7.2.2-1
dialog 1:1.3_20190211-1
diffutils 3.7-1
ding-libs 0.6.1-2
discount 2.2.6-1
djvulibre 3.5.27-4
dkms 2.7.1-1
dmidecode 3.2-1
dmraid 1.0.0.rc16.3-11
dnsmasq 2.80-4
dnssec-anchors 20190629-1
docbook-xml 4.5-8
docbook-xsl 1.79.2-5
docker 1:19.03.1-1
docx2txt 1.4-4
dolphin 19.04.3-1
dolphin-plugins 19.04.3-1
dosfstools 4.1-2
double-conversion 3.1.5-1
dropbox 74.4.115-1
dtkcore 1:2.0.16.3-1
dtkwidget 2.0.16.1-1
dtkwm 2.0.11-4
dunst 1.4.1-2
dunstify 1.4.1-2
duplicity 0.7.19-2
e2fsprogs 1.45.3-1
ebook-tools 0.2.2-6
ecryptfs-utils 111-3
ed 1.15-1
editorconfig-core-c 0.12.3-1
efibootmgr 16-1
efivar 37-1
electron 5.0.8-1
electron4 4.2.8-1
elinks 0.13-21
enchant 2.2.5-1
exempi 2.5.0-1
exfat-utils 1.3.0-1
exiv2 0.27.1-1
expat 2.2.7-1
f2fs-tools 1.12.0-2
faac 1.29.9.2-1
faad2 2.8.8-1
fakeroot 1.23-1
ffmpeg 1:4.1.4-1
ffmpegthumbnailer 2.2.0-2
ffmpegthumbs 19.04.3-1
fftw 3.3.8-1
file 5.37-2
filelight 19.04.3-1
filesystem 2018.9-1
findutils 4.6.0-4
firefox 68.0.1-2
flac 1.3.2-2
flatpak 1.4.2-1
flex 2.6.4-2
fluidsynth 2.0.5-1
fontconfig 2:2.13.1+12+g5f5ec56-1
foomatic-db-engine 4:4.0.13-1
frameworkintegration 5.60.0-1
freeglut 3.0.0-2
freetype2 2.10.1-1
fribidi 1.0.5-1
ftgl 2.4.0-1
fuse-common 3.6.2-1
fuse2 2.9.9-1
fuse3 3.6.2-1
fzf 0.18.0-1
game-devices-udev 0.4-1
gamin 0.1.10-9
gawk 4.2.1-2
gc 7.6.8-1
gcab 1.2-1
gcc 9.1.0-2
gcc-libs 9.1.0-2
gconf 3.2.6+11+g07808097-4
gcr 3.28.1-1
gd 2.2.5-2
gdbm 1.18.1-2
gdk-pixbuf2 2.38.1-1
gendesk 1.0.2-3
geoclue 2.5.3-2
geocode-glib 3.26.1-1
gettext 0.19.8.1-3
ghostscript 9.27-1
giflib 5.2.1-1
girara 0.3.2-1
git 2.22.0-1
glew 2.1.0-1
glib-networking 2.60.3-1
glib2 2.60.6-1
glibc 2.29-3.1
glibmm 2.60.0-1
glm 0.9.9.5-1
glslang 7.11.3214-2
glu 9.0.1-1
gmp 6.1.2-2
gmtp 1.3.11-1
gnome-autoar 0.2.3+1+g7347380-1
gnome-desktop 1:3.32.2-1
gnome-icon-theme 3.12.0-5
gnome-icon-theme-symbolic 3.12.0-5
gnome-keyring 1:3.31.91-1
gnome-online-accounts 3.32.0-1
gnome-settings-daemon 3.32.1-1
gnome-themes-extra 3.28-1
gnome-tweaks 3.32.0-1
gnupg 2.2.17-2
gnustep-base 1.26.0-2
gnutls 3.6.9-1
go 2:1.12.7-1
gobject-introspection-runtime 1.60.2-1
gpgme 1.13.1-1
gpm 1.20.7.r27.g1fd1941-1
gptfdisk 1.0.4-1
grantlee 5.1.0-4
graphene 1.8.6-1
graphite 1:1.3.13-1
grep 3.3-1
groff 1.22.4-1
grub 2.04-1
grub-theme-manjaro 18.1-1
gsettings-desktop-schemas 3.32.0-2
gsettings-qt 0.1.20170110-2
gsfonts 20180524-2
gsl 2.5-1
gsm 1.0.18-1
gssdp 1.2.1-1
gssproxy 0.8.2-1
gst-libav 1.16.0-1
gst-plugins-bad 1.16.0-4
gst-plugins-base 1.16.0-3
gst-plugins-base-libs 1.16.0-3
gst-plugins-good 1.16.0-1
gst-plugins-ugly 1.16.0-1
gstreamer 1.16.0-2
gtest 1.8.1-3
gtk-engine-murrine 0.98.2-3
gtk-theme-arc-gruvbox-git r12.e5ea0ff-1
gtk-theme-breath 5.9.0-1
gtk-update-icon-cache 1:3.24.10-1
gtk2 2.24.32-1
gtk3 1:3.24.10-1
gtkd 3.9.0-2
guile 2.2.6-1
gupnp 1.2.1-1
gupnp-dlna 0.10.5+4+gc947eed-1
gupnp-igd 0.2.5+3+gedd78a6-2
gvfs 1.40.2-1
gvfs-afc 1.40.2-1
gvfs-gphoto2 1.40.2-1
gvfs-mtp 1.40.2-1
gvfs-nfs 1.40.2-1
gvfs-smb 1.40.2-1
gwenview 19.04.3-1
gzip 1.10-1
harfbuzz 2.5.3-1
harfbuzz-icu 2.5.3-1
haveged 1.9.4-3
hdparm 9.58-1
hicolor-icon-theme 0.17-1
highlight 3.52-1
hplip 1:3.19.6-1
hspell 1.4-1
htop 2.2.0-2
http-parser 2.9.2-1
hunspell 1.7.0-2
hwids 20190316-1
hwinfo 21.60-2
hyphen 2.8.8-2
i3-gaps 4.16.1-1
i3blocks 1.4-6
i3lock 2.12-1
iana-etc 20190702-1
icu 64.2-1
ijs 0.35-2
illyria-wallpaper 1.4-1
ilmbase 2.3.0-1
imagemagick 7.0.8.57-1
imagewriter 1.10.1420800585.134a9b3-4
imlib2 1.5.1-1
inetutils 1.9.4-7
iniparser 4.1-1
intel-ucode 20190618-1
inxi 3.0.35-1
iproute2 5.2.0-1
iptables 1:1.8.3-1
iputils 20180629.f6aac8d-4
ipw2100-fw 1.3-9
ipw2200-fw 3.1-7
ipython 7.6.1-1
iso-codes 4.3-1
iw 5.0.1-1
jack 0.125.0-7
jansson 2.12-1
jasper 2.0.16-1
jbig2dec 0.16-1
jemalloc 1:5.2.0-1
jfsutils 1.1.15-6
js52 52.9.0-3
js60 60.8.0-1
json-c 0.13.1-2
json-glib 1.4.4-1
jupyter 4.1.0-7
jupyter-nbconvert 5.5.0-1
jupyter-nbformat 4.4.0-2
jupyter-notebook 6.0.0-1
jupyter-widgetsnbextension 1:3.5.0-1
jupyter_console 6.0.0-1
kaccounts-integration 19.04.3-1
kaccounts-providers 19.04.3-1
kactivities 5.60.0-1
kactivities-stats 5.60.0-1
kactivitymanagerd 5.16.3-1
kamera 19.04.3-1
karchive 5.60.0-1
kate 19.04.3-1
kauth 5.60.0-1
kbd 2.0.4-2
kbookmarks 5.60.0-1
kcalc 19.04.3-1
kcmutils 5.60.0-1
kcodecs 5.60.0-1
kcompletion 5.60.0-1
kconfig 5.60.0-1
kconfigwidgets 5.60.0-1
kcontacts 19.04.3-1
kcoreaddons 5.60.0-1
kcrash 5.60.0-1
kdbusaddons 5.60.0-1
kde-cli-tools 5.16.3-1
kde-gtk-config 5.16.3-1
kde-servicemenus-rootactions 2.9.1-1
kdeclarative 5.60.0-1
kdeconnect 1.3.4-1
kdecoration 5.16.3-1
kded 5.60.0-1
kdegraphics-thumbnailers 19.04.3-1
kdelibs4support 5.60.0-1
kdenetwork-filesharing 19.04.3-1
kdeplasma-addons 5.16.3-1
kdesu 5.60.0-1
kdiagram 2.6.1-1
kdialog 19.04.3-1
kdnssd 5.60.0-1
kdoctools 5.60.0-1
keditbookmarks 19.04.3-1
kemoticons 5.60.0-1
keyutils 1.6-1
kfilemetadata 5.60.0-1
kfind 19.04.3-1
kgamma5 5.16.3-1
kget 19.04.3-1
kglobalaccel 5.60.0-1
kguiaddons 5.60.0-1
khelpcenter 19.04.3-1
kholidays 1:5.60.0-1
khotkeys 5.16.3-1
khtml 5.60.0-1
ki18n 5.60.0-1
kiconthemes 5.60.0-1
kidletime 5.60.0-1
kimageformats 5.60.0-1
kinfocenter 5.16.3-1
kinit 5.60.0-1
kio 5.60.0-1
kio-extras 19.04.3-1
kirigami2 5.60.0-1
kitemmodels 5.60.0-1
kitemviews 5.60.0-1
kjobwidgets 5.60.0-1
kjs 5.60.0-1
kjsembed 5.60.0-1
kmenuedit 5.16.3-1
kmod 26-2
knetattach 5.16.3-2
knewstuff 5.60.0-1
knotifications 5.60.0-1
knotifyconfig 5.60.0-1
konsole 19.04.3-1
konversation 1.7.5-1
kpackage 5.60.0-1
kparts 5.60.0-1
kpeople 5.60.0-1
kpmcore 4.0.0-3
kpty 5.60.0-1
krb5 1.17-1
kross 5.60.0-1
krunner 5.60.0-1
kscreen 5.16.3-1
kscreenlocker 5.16.3-1
kservice 5.60.0-1
ksshaskpass 5.16.3-1
ksysguard 5.16.3-1
ksystemlog 19.04.3-1
ktexteditor 5.60.0-1
ktextwidgets 5.60.0-1
kunitconversion 5.60.0-1
kwallet 5.60.0-1
kwallet-pam 5.16.3-1
kwalletmanager 19.04.3-1
kwayland 5.60.0-1
kwayland-integration 5.16.3-1
kwidgetsaddons 5.60.0-1
kwin 5.16.3-1
kwindowsystem 5.60.0-1
kwrited 5.16.3-1
kxmlgui 5.60.0-1
l-smash 2.14.5-1
ladspa 1.15-1
lame 3.100-2
lcms2 2.9-2
ldb 1:1.5.5-1
ldns 1.7.0-4
less 551-1
lib32-alsa-lib 1.1.9-1
lib32-alsa-plugins 1.1.9-1
lib32-attr 2.4.48-1
lib32-bzip2 1.0.8-2
lib32-dbus 1.12.16-1
lib32-expat 2.2.7-1
lib32-flac 1.3.2-2
lib32-flex 2.6.4-2
lib32-gcc-libs 9.1.0-2
lib32-glew 2.1.0-1
lib32-glib2 2.60.6-1
lib32-glibc 2.29-3.1
lib32-glu 9.0.0-4
lib32-icu 64.2-1
lib32-libasyncns 0.8+3+g68cd5af-2
lib32-libcanberra 0.30+2+gc0620e4-1
lib32-libcanberra-pulse 0.30+2+gc0620e4-1
lib32-libcap 2.27-1
lib32-libdrm 2.4.99-1
lib32-libelf 0.176-1
lib32-libffi 3.2.1-2
lib32-libgcrypt 1.8.4-1
lib32-libglvnd 1.1.1-1
lib32-libgpg-error 1.36-1
lib32-libice 1.0.9-3
lib32-libltdl 2.4.6+42+gb88cebd5-1
lib32-libogg 1.3.3-3
lib32-libpciaccess 0.16-1
lib32-libpulse 12.2-1
