accountsservice 0.6.55-1
acpi 1.7-2
acpid 2.0.32-1
alacritty 0.4.1-2
alsa-firmware 1.2.1-2
alsa-plugins 1.2.2-1
alsa-utils 1.2.2-1
arandr 0.1.10-4
autoconf 2.69-7
automake 1.16.1-2
avahi 0.8+6+g751be80-1
awesome-terminal-fonts 1.1.0-2
b43-fwcutter 019-3
bash 5.0.016-1
bdf-unifont 12.1.04-1
binutils 2.34-1.1
bison 3.5.2-1
blueberry 1.3.4-2
bluez 5.53-1
bluez-utils 5.53-1
bmenu 0.5-3
brave 1.4.95-1
btrfs-progs 5.4-1
bzip2 1.0.8-3
cbatticon 1.6.10-1
clipit 1:1.4.3-2
coreutils 8.31-3
cpupower 5.5-1
crda 4.14-3
cronie 1.5.5-1
cryptsetup 2.3.0-1.1
deepin-screenshot 5.0.0-2
device-mapper 2.02.186-5
dfc 3.1.1-1
dhclient 4.4.2-2
dhcpcd 8.1.6-1
diffutils 3.7-3
dmidecode 3.2-1
dmraid 1.0.0.rc16.3-12
dnsmasq 2.80-4
dosfstools 4.1-3
e2fsprogs 1.45.5-1
ecryptfs-utils 111-3
efibootmgr 16-2
emacs 26.3-1
epdfview 0.1.8-10
exfat-utils 1.3.0-1
f2fs-tools 1.13.0-1
fakeroot 1.24-2
file 5.38-3
filesystem 2019.10-4
findutils 4.7.0-2
firefox 73.0.1-1
flex 2.6.4-3
gawk 5.0.1-2
gcc-libs 9.2.1+20200130-2
gcolor2 0.4-8
gconf 3.2.6+11+g07808097-7
gettext 0.20.1-3
glibc 2.31-1
gnome-control-center 3.34.4-1
gnome-keyring 1:3.34.0-2
grep 3.4-1
grub 2.04-10
grub-theme-manjaro-dev 18.0-3
gvfs 1.42.2-2
gvfs-afc 1.42.2-2
gvfs-gphoto2 1.42.2-2
gvfs-mtp 1.42.2-2
gvfs-smb 1.42.2-2
gzip 1.10-3
htop 2.2.0-3
i3-default-artwork 20190912-1
i3blocks 1.5-3
i3status-rust 0.12.0-2
inetutils 1.9.4-8
insync 3.0.28.40721-1
intel-ucode 20191115-3
interception-caps2esc-delay-git 0.1.3.r5.g3f9a39c-1
inxi 3.0.37-1
iproute2 5.5.0-1
iputils 20190709-2
jfsutils 1.1.15-7
kvantum-manjaro 0.13.5-1
less 551-3
lib32-flex 2.6.4-2
lib32-libva-vdpau-driver 0.7.4-6
lib32-mesa-demos 8.4.0-1
lib32-mesa-vdpau 19.3.4-3
lib32-vulkan-intel 19.3.4-3
lib32-vulkan-radeon 19.3.4-3
libtool 2.4.6+42+gb88cebd5-10
libva-mesa-driver 19.3.4-2
libva-vdpau-driver 0.7.4-4
licenses 20191011-2
lightdm-mini-greeter 0.3.4-1
lightdm-slick-greeter 1.2.8-2
lightdm-webkit-theme-aether 2.2.2-1
linux54 5.4.22-1
logrotate 3.15.1-2
lvm2 2.02.186-5
lxappearance 0.6.3-2
lxinput 0.3.5-2
m4 1.4.18-3
maia-console 1.2-6
maim 5.5.3-2
make 4.3-1
man-db 2.9.0-1
man-pages 5.05-1
manjaro-alsa 20200126-1
manjaro-browser-settings 20200124-1
manjaro-firmware 20160419-1
manjaro-hotfixes 2018.08-6
manjaro-i3-settings 20191111-1
manjaro-ranger-settings 20190513-2
manjaro-release 19.0.1-1
manjaro-system 20191210-4
markdown_previewer 0.r6.64ad4d7-1
mdadm 4.1-2
memtest86+ 5.01-3
mesa-demos 8.4.0-2
mesa-vdpau 19.3.4-2
mhwd 0.6.4-2
mhwd-db 0.6.4-9
mkinitcpio-openswap 0.1.0-3
